Name 1,Name 2,Spanish Description,French Description,German Description,Italian Description,Portuguese Description,Russian Description,Chinese Description,Japanese Description,Arabic Description,Hindi Description
Spider-Man,Deadpool,El team-up más improbable del multiverso 🕷️😎,L’improbable duo le plus fun du multivers 🕷️😜,Das verrückteste Bromance-Match im Multiversum 🕷️😆,L’unione più assurda del multiverso 🕷️😆,Parceria improvável com piadas infinitas 🕷️😆,Абсурдный дуэт с паутиной юмора 🕷️😆,最无法想象的组合 🕷️😆,世界線を超えた凸凹カップル 🕷️😆,أغرب ثنائي في الكون 🕷️😆,सबसे अजीब लेकिन प्यारा पेयर 🕷️😆
Drake,Rihanna,Amor de altos vuelos... y charts 📈🎤,"Succès, rumeurs et refrains en boucle 🎧🔥","Charts, Flammen und süße Vibes 🎶🔥",Rime e passione nella top chart 🎤🔥,"Ritmo, hits e romance 🔥🎤",Биты и чувства на первом месте 🎤🔥,节奏热恋 🔥🎤,ビートも愛もトップチャート 🎤🔥,إيقاع ساخن × مشاعر مشتعلة 🎤🔥,बीट्स और दिल की धड़कनें 🎤🔥
Cardi B,Offset,"Trap, drama y anillos 💍🎤",Trap et clash version couple 💥🎤,"Laut, liebevoll, luxuriös 💍🎤",Trap + love = drama assicurato 💣🎶,Casal barulhento e apaixonado 💥🎶,"Скандалы, страсть и золото 💍🎶",吵架+亲吻=他们日常 💥🎶,うるさくて熱いカップル 💥🎶,ضوضاء وحب وأسلوب 💥🎶,"शोर, साज़ और सच्चा प्यार 💥🎶"
BTS Jungkook,Lisa BLACKPINK,Pop asiático al 100% 🌸🎶,Le K-pop date dont tout le monde rêve 🌸🎶,K-Pop Power-Crush 💕🎶,Pop e dolcezza K-style 🌸🎶,Amor à moda K-pop 🌸🎶,Идеальный кей-поп краш 🌸🎶,K-pop梦幻配对 🌸🎶,K-POP界の夢カップル 🌸🎶,ثنائي الحُلم في الكيبوب 🌸🎶,K-POP फैंटेसी कपल 🌸🎶
Olivia Rodrigo,Joshua Bassett,"Canciones tristes, finales trágicos 🎶💔",Un drama en trois actes et une chanson triste 🎶💔,Herzensdrama mit Soundtrack 🎵💔,Un cuore spezzato con colonna sonora 🎶💔,Drama amoroso com trilha sonora 🎶💔,Песня с привкусом разбитого сердца 🎶💔,音乐剧式的恋爱 🎶💔,バラードのような恋 🎶💔,حُب مُغنى على لحن الفراق 🎶💔,सैड सॉन्ग वाला रिश्ता 🎶💔
Dua Lipa,Jack Harlow,Dua + Harlow = química inesperada 💄🎧,La surprise TikTok du tapis rouge 💄🎧,TikTok-Flirt mit Star-Ambitionen 💄📱,Coppia a sorpresa... firmata TikTok 💄📱,Match inesperado no TikTok 💄📱,Тикток-роман в стиле неожиданности 💄📱,TikTok爆款恋情 💄📱,TikTokで急上昇 💄📱,علاقة من تيك توك إلى القلب 💄📱,टिकटॉक से निकला ट्विस्ट 💄📱
Shawn Mendes,Camila Cabello,Un match hecho en TikTok y Toronto 📱❤️,"Des balades, des likes et des ruptures 📱❤️",Toronto trifft auf Teen-Love 📱💘,"Like, DM e cuori a distanza 📱💘","Mensagens, likes e saudade 📱💘","Сообщения, лайки и расстояния 📱💘",隔着屏幕的心动 📱💘,SNS越しのラブストーリー 📱💘,رسائل، إعجابات، ومشاعر 📱💘,लाइक्स के पार वाला प्यार 📱💘
MrBeast,Chandler,Millonarios con bromance legendario 💰😂,Meilleurs amis millionnaires en mission 💵😂,Money + Memes = Bromance 💰😂,Milioni e risate assicurate 💰😂,"Milhões, memes e lealdade 💰😂","Миллионы, мемы и настоящая дружба 💰😂",亿万订阅+真友情 💰😂,億再生ブロマンス 💰😂,أصدقاء وملايين وجنون 💰😂,मिलियन्स के साथ ब्रोमांस 💰😂
Logan Paul,Jake Paul,"Genética, polémica y suscripción 💉📹","ADN partagé, drama multiplié 🧬💣","Brüderlich, laut, unmöglich zu ignorieren 💣🧬",Dramma familiare in diretta mondiale 💥🧬,"Drama em família, estilo YouTube 💣🧬","Братья, хайп и ссоры в прямом эфире 💥🧬",兄弟也能制造风暴 💣🧬,兄弟ゲンカは世界配信 💣🧬,دراما عائلية ببث مباشر 💣🧬,भाईचारा और ड्रामा ऑन एयर 💣🧬
Dream,GeorgeNotFound,Sueños compartidos en Minecraft 🛏️🌍,"Minecraft, potins et pixels amoureux 🎮❤️","Blöcke bauen, Herzen stehlen 🎮💘",Minecraft + sentimento = vero amore 🎮💘,Construindo blocos e relações 🎮💘,"Блоки, стримы и любовь 🎮💘",从方块到心跳 🎮💘,ブロックから始まる恋 🎮💘,حُب في عالم المكعبات 🎮💘,ब्लॉक्स से शुरू हुआ लव 🎮💘
Charli D'Amelio,Lil Huddy,Baile y drama en 15 segundos 💃🎭,"Danses, regards et stories supprimées 💃📸","Lippen, Likes und Love-Stories 💃📸","Balli, post e tanto drama 💃📸","Dança, drama e curtidas 💃📸","Танцы, драмы и сторис 💃📸",跳舞、吵架、点赞 💃📸,踊って泣いてバズる恋 💃📸,رقص ودراما وإعجابات 💃📸,"डांस, ड्रामा और दिल 💃📸"
Pokimane,xQc,"Streaming, rage y ships digitales 🎮🔥","Jeux vidéo, flirts et débats en direct 🎮🔥",Rage + Romance im Livestream 🎮🔥,"Rage, stream e flirt digitali 🎮🔥","Stream, emoção e flirt ao vivo 🎮🔥","Флирт, ярость и лайвы 🎮🔥",在线恋爱进行时 🎮🔥,配信中に恋が始まる 🎮🔥,حب مباشر على الهواء 🎮🔥,स्ट्रीमिंग में भी सच्चा इश्क़ 🎮🔥
Ninja,Tfue,Duelos digitales con headshots de amor 🎯💥,Snipes et crushs en mode Battle Royale 🎯❤️,"Snipes, Sweats & Schmetterlinge 🎯❤️",Sparatorie e farfalle nello stomaco 🎯❤️,Tiros e borboletas no estômago 🎯❤️,Выстрелы и бабочки в животе 🎯❤️,游戏中也有心跳 🎯❤️,スナイプよりドキドキ 🎯❤️,قنص وقلوب مرتجفة 🎯❤️,स्नाइपिंग और सनसनाहट 🎯❤️
Valkyrae,Ludwig,Gamer love con micrófonos cruzados 🎙️❤️,Des streams et des papillons dans le ventre 🎙️💘,Controller + Kuscheln? Läuft 🎙️💞,Love story nata tra un microfono e un controller 🎙️💞,Uma conexão gamer-romântica 🎙️💞,Стрим + чувства = любовь 🎙️💞,麦克风+感情输出 🎙️💞,マイクと恋のダブルプレイ 🎙️💞,ميكروفون + مشاعر = ثنائي ناري 🎙️💞,माइक + फीलिंग्स = बेस्ट जोड़ी 🎙️💞
HasanAbi,AOC,Política y Twitch: una pareja improbable 🗳️📡,Un stream politique qui fait battre les cœurs 🗳️💻,Debatten + DMs = Polit-Crush 💬🗳️,"Twitch, politica e cuori in chat 🗳️💬",Paixão política com filtro 💬🗳️,Политический стрим с романтикой 💬🗳️,直播政治秀中的爱 💬🗳️,政治×配信＝まさかの恋 💬🗳️,سياسة وبث... ورومانسية؟ 💬🗳️,राजनीति और लाइव लव 💬🗳️
Khaby Lame,Silence,Silencio viral y likes infinitos 🤫📱,Le roi du silence rencontre la paix virale 🤐📲,Stille Liebe in Meme-Form 🤫📱,Il re del silenzio e il regno dei like 🤫📱,Silêncio viral e puro carisma 🤫📱,Вирусная тишина с харизмой 🤫📱,沉默中的流量王 🤫📱,沈黙だけで世界を虜に 🤫📱,صمت أسطوري + كاريزما رهيبة 🤫📱,चुप्पी में सबसे ज़्यादा असर 🤫📱
James Charles,Tati Westbrook,"Maquillaje, drama y reconciliación 💄💥","Make-up, scandales et batailles YouTube 💄🔥","Drama, Lashes und Skandalalarm 💄🔥","Trucco, rotture e video virali 💄🔥","Drama, beleza e treta viral 💄🔥","Ссоры, косметика и YouTube-драмы 💄🔥",美妆战争+社媒爆炸 💄🔥,コスメと修羅場のYouTube 💄🔥,مكياج، مشاكل، وتفجير ترندات 💄🔥,ब्यूटी ब्लंडर और यूट्यूब धमाका 💄🔥
Blake,Ryan,La pareja más sarcástica de Hollywood 💁‍♀️😏,Le couple le plus sarcastique d’Hollywood 😏💫,Das sarkastischste Paar in ganz Hollywood 😏🎬,La coppia più sarcastica di Hollywood 😏🎭,O casal mais sarcástico de Hollywood 😏🎬,Самая саркастичная пара Голливуда 😏🎬,好莱坞最毒舌的情侣 😏🎬,ハリウッド最強の毒舌カップル 😏🎭,أكثر ثنائي ساخر في هوليوود 😏🎭,हॉलीवुड की सबसे ताना मारने वाली जोड़ी 😏🎭
Ross,Rachel,"La pareja que definió el 'te amo, pero te odio' 📺❤️😡","Le couple « je t’aime, moi non plus » 📺❤️😡",Die legendäre On-Off-Serie der 90er 📺❤️😡,La relazione più tira e molla della TV 📺❤️😡,O vai-e-volta mais famoso da TV 📺❤️😡,Главная драма нулевых 📺❤️😡,电视剧史上最反复无常的恋爱 📺❤️😡,名作ドラマの恋の波 📺❤️😡,أكبر علاقة تشغيل-إيقاف في التاريخ 📺❤️😡,टीवी की सबसे ऑन-ऑफ लव स्टोरी 📺❤️😡
Watson,Sherlock,"Detectives con química, no solo lógica 🕵️‍♂️❤️","Énigmes, logique et passion british 🕵️‍♂️💡",Logik trifft auf Liebeskrimi 🕵️‍♂️❤️,Genio e passione nel mondo del mistero 🕵️‍♂️❤️,Mistério e química britânica 🕵️‍♂️❤️,Интеллект + химия = британская страсть 🕵️‍♂️❤️,侦探搭档，心也连着 🕵️‍♂️❤️,名探偵同士の心の絆 🕵️‍♂️❤️,ذكاء وتحقيق وقلب ينبض 🕵️‍♂️❤️,जासूसी में भी दिल की बात 🕵️‍♂️❤️
John Watson,Sherlock Holmes,"Detectives con química, no solo lógica 🕵️‍♂️❤️","Énigmes, logique et passion british 🕵️‍♂️💡",Logik trifft auf Liebeskrimi 🕵️‍♂️❤️,Genio e passione nel mondo del mistero 🕵️‍♂️❤️,Mistério e química britânica 🕵️‍♂️❤️,Интеллект + химия = британская страсть 🕵️‍♂️❤️,侦探搭档，心也连着 🕵️‍♂️❤️,名探偵同士の心の絆 🕵️‍♂️❤️,ذكاء وتحقيق وقلب ينبض 🕵️‍♂️❤️,जासूसी में भी दिल की बात 🕵️‍♂️❤️
Harry,Voldemort,El odio más mágico de todos los tiempos 🪄😈❤️,Haine magique et tension légendaire 🧙‍♂️💥,Zauberhafte Feindschaft deluxe 🧙‍♂️⚡,Magia nera e tensione eterna 🧙‍♂️⚡,"Inimigos mágicos, tensão real 🧙‍♂️⚡",Волшебная ненависть высшего уровня 🧙‍♂️⚡,魔法界最毒CP 🧙‍♂️⚡,魔法界の禁断の愛 🧙‍♂️⚡,كراهية سحرية... وفيها مشاعر؟ 🧙‍♂️⚡,जादुई नफरत... जिसमें प्यार भी है? 🧙‍♂️⚡
